idx,avg_duration,avg_q,avg_reward,episodes,epoch,max_reward
0,10.0,2.2781312465667725,10.0,48,0,10.0
1,11.0,3.8581502437591553,11.0,97,1,11.0
2,11.0,5.397978782653809,11.0,144,2,11.0
3,9.0,7.709491729736328,9.0,187,3,9.0
4,19.0,10.583287239074707,19.0,234,4,19.0
5,11.0,12.607776641845703,11.0,277,5,11.0
6,10.0,15.112025260925293,10.0,324,6,10.0
7,31.0,15.381499290466309,31.0,370,7,31.0
8,9.0,13.989646911621094,9.0,412,8,9.0
9,52.0,20.532283782958984,52.0,423,9,52.0
10,100.0,16.59364128112793,100.0,433,10,100.0
11,124.0,17.192358016967773,124.0,441,11,124.0
12,15.0,16.82052993774414,15.0,456,12,15.0
13,42.0,19.311418533325195,42.0,504,13,42.0
14,136.0,22.667160034179688,136.0,526,14,136.0
15,129.0,25.93460464477539,129.0,540,15,129.0
16,38.0,25.954875946044922,38.0,547,16,38.0
17,15.0,27.698972702026367,15.0,556,17,15.0
18,48.0,28.166135787963867,48.0,561,18,48.0
19,231.0,29.113895416259766,231.0,574,19,231.0
20,15.0,28.9401912689209,15.0,597,20,15.0
21,111.0,29.409387588500977,111.0,613,21,111.0
22,40.0,26.32541275024414,40.0,626,22,40.0
23,102.0,24.92343521118164,102.0,635,23,102.0
24,31.0,23.543710708618164,31.0,643,24,31.0
25,13.0,25.555875778198242,13.0,667,25,13.0
26,41.0,25.517005920410156,41.0,681,26,41.0
27,395.0,25.9201602935791,395.0,686,27,395.0
28,170.0,29.89084815979004,170.0,691,28,170.0
29,139.0,28.950267791748047,139.0,698,29,139.0
30,575.0,28.58287811279297,575.0,707,30,575.0
31,124.0,28.244462966918945,124.0,713,31,124.0
32,116.0,29.377880096435547,116.0,723,32,116.0
33,119.0,19.705060958862305,119.0,736,33,119.0
34,105.0,21.945310592651367,105.0,748,34,105.0
35,117.0,23.22095489501953,117.0,756,35,117.0
36,30.0,24.186965942382812,30.0,767,36,30.0
37,43.0,21.77428436279297,43.0,778,37,43.0
38,108.0,22.305784225463867,108.0,786,38,108.0
39,232.0,24.025585174560547,232.0,793,39,232.0
40,27.0,22.645126342773438,27.0,803,40,27.0
41,10.0,24.017967224121094,10.0,821,41,10.0
42,13.0,16.97029685974121,13.0,837,42,13.0
43,117.0,21.054908752441406,117.0,853,43,117.0
44,175.0,22.858036041259766,175.0,859,44,175.0
45,200.0,25.849000930786133,200.0,864,45,200.0
46,203.0,26.99909019470215,203.0,872,46,203.0
47,109.0,27.50554084777832,109.0,880,47,109.0
48,89.0,26.169795989990234,89.0,893,48,89.0
49,121.0,27.659791946411133,121.0,902,49,121.0
